PK,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH
1,ANC,"Anchorage, AK",YVR,"Vancouver, Canada",2023,5
2,ANC,"Anchorage, AK",YVR,"Vancouver, Canada",2023,6
3,ANC,"Anchorage, AK",YVR,"Vancouver, Canada",2023,7
4,ANC,"Anchorage, AK",YVR,"Vancouver, Canada",2023,8
5,ATL,"Atlanta, GA",BOG,"Bogota, Colombia",2023,1
6,ATL,"Atlanta, GA",BOG,"Bogota, Colombia",2023,2
7,ATL,"Atlanta, GA",BOG,"Bogota, Colombia",2023,3
8,ATL,"Atlanta, GA",BOG,"Bogota, Colombia",2023,4
9,ATL,"Atlanta, GA",BOG,"Bogota, Colombia",2023,5
10,ATL,"Atlanta, GA",BOG,"Bogota, Colombia",2023,6
11,ATL,"Atlanta, GA",BOG,"Bogota, Colombia",2023,7
12,ATL,"Atlanta, GA",BOG,"Bogota, Colombia",2023,8
13,ATL,"Atlanta, GA",MIA,"Miami, FL",2023,5
14,ATL,"Atlanta, GA",MIA,"Miami, FL",2023,6
15,ATL,"Atlanta, GA",MIA,"Miami, FL",2023,7
16,ATL,"Atlanta, GA",MIA,"Miami, FL",2023,8
17,ATL,"Atlanta, GA",PTY,"Panama City, Panama",2023,2
18,ATL,"Atlanta, GA",UIO,"Quito, Ecuador",2023,3
19,ATL,"Atlanta, GA",UIO,"Quito, Ecuador",2023,4
20,ATL,"Atlanta, GA",UIO,"Quito, Ecuador",2023,5
21,ATL,"Atlanta, GA",UIO,"Quito, Ecuador",2023,6
22,ATL,"Atlanta, GA",UIO,"Quito, Ecuador",2023,7
23,ATL,"Atlanta, GA",UIO,"Quito, Ecuador",2023,8
24,ATL,"Atlanta, GA",YUL,"Montreal, Canada",2023,5
25,ATL,"Atlanta, GA",YUL,"Montreal, Canada",2023,6
26,AUS,"Austin, TX",YVR,"Vancouver, Canada",2023,5
27,AUS,"Austin, TX",YVR,"Vancouver, Canada",2023,6
28,AUS,"Austin, TX",YVR,"Vancouver, Canada",2023,7
29,AUS,"Austin, TX",YVR,"Vancouver, Canada",2023,8
30,AUS,"Austin, TX",YYZ,"Toronto, Canada",2023,5
31,AUS,"Austin, TX",YYZ,"Toronto, Canada",2023,6
