PK,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH
1,ABE,"Allentown/Bethlehem/Easton, PA",BED,"Bedford, MA",2018,6
2,ABE,"Allentown/Bethlehem/Easton, PA",EWR,"Newark, NJ",2018,10
3,ABE,"Allentown/Bethlehem/Easton, PA",YYZ,"Toronto, Canada",2018,5
4,ABQ,"Albuquerque, NM",ABQ,"Albuquerque, NM",2018,12
5,ABQ,"Albuquerque, NM",GDL,"Guadalajara, Mexico",2018,11
6,ABQ,"Albuquerque, NM",GDL,"Guadalajara, Mexico",2018,11
7,ABQ,"Albuquerque, NM",GDL,"Guadalajara, Mexico",2018,12
8,ABQ,"Albuquerque, NM",GDL,"Guadalajara, Mexico",2018,12
9,ABV,"Abuja, Nigeria",LAX,"Los Angeles, CA",2018,6
10,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2018,1
11,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2018,1
12,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2018,1
13,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2018,2
14,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2018,2
15,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2018,3
16,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2018,4
17,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2018,4
18,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2018,6
19,ACA,"Acapulco, Mexico",ORD,"Chicago, IL",2018,12
20,ACC,"Accra, Ghana",IAD,"Washington, DC",2018,1
21,ACC,"Accra, Ghana",IAD,"Washington, DC",2018,2
22,ACC,"Accra, Ghana",IAD,"Washington, DC",2018,3
23,ACC,"Accra, Ghana",IAD,"Washington, DC",2018,4
24,ACC,"Accra, Ghana",IAD,"Washington, DC",2018,5
25,ACC,"Accra, Ghana",IAD,"Washington, DC",2018,6
26,ACC,"Accra, Ghana",IAD,"Washington, DC",2018,7
27,ACC,"Accra, Ghana",IAD,"Washington, DC",2018,8
28,ACC,"Accra, Ghana",IAD,"Washington, DC",2018,9
29,ACC,"Accra, Ghana",IAD,"Washington, DC",2018,10
30,ACC,"Accra, Ghana",IAD,"Washington, DC",2018,11
31,ACC,"Accra, Ghana",IAD,"Washington, DC",2018,12
32,ACK,"Nantucket, MA",BED,"Bedford, MA",2018,5
33,ACK,"Nantucket, MA",BOG,"Bogota, Colombia",2018,9
34,ACK,"Nantucket, MA",BOG,"Bogota, Colombia",2018,10
35,ACK,"Nantucket, MA",JFK,"New York, NY",2018,7
36,ACK,"Nantucket, MA",LGA,"New York, NY",2018,9
37,ACK,"Nantucket, MA",OPO,"Porto, Portugal",2018,8
38,ACK,"Nantucket, MA",SCL,"Santiago, Chile",2018,8
39,ACK,"Nantucket, MA",SCL,"Santiago, Chile",2018,9
40,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2018,6
41,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2018,6
42,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2018,7
43,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2018,8
44,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2018,8
45,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2018,9
46,ACY,"Atlantic City, NJ",ACY,"Atlantic City, NJ",2018,3
47,ACY,"Atlantic City, NJ",ODE,"Odense, Denmark",2018,6
48,ACY,"Atlantic City, NJ",YYZ,"Toronto, Canada",2018,8
49,ACY,"Atlantic City, NJ",YYZ,"Toronto, Canada",2018,8
50,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2018,1
51,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2018,2
52,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2018,3
53,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2018,4
54,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2018,5
55,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2018,6
56,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2018,7
57,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2018,8
58,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2018,9
59,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2018,10
60,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2018,11
61,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2018,12
62,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2018,1
63,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2018,2
64,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2018,3
65,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2018,4
66,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2018,5
67,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2018,6
68,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2018,7
69,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2018,8
70,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2018,9
71,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2018,10
72,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2018,11
73,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2018,12
74,ADD,"Addis Ababa, Ethiopia",LAX,"Los Angeles, CA",2018,1
75,ADD,"Addis Ababa, Ethiopia",LAX,"Los Angeles, CA",2018,2
76,ADD,"Addis Ababa, Ethiopia",LAX,"Los Angeles, CA",2018,3
77,ADD,"Addis Ababa, Ethiopia",LAX,"Los Angeles, CA",2018,4
78,ADD,"Addis Ababa, Ethiopia",LAX,"Los Angeles, CA",2018,5
