PK,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH
1,1FL,"Titusville, FL",MCO,"Orlando, FL",2021,12
2,AAO,"Anaco, Venezuela",BZN,"Bozeman, MT",2021,12
3,ABE,"Allentown/Bethlehem/Easton, PA",YYZ,"Toronto, Canada",2021,10
4,ABQ,"Albuquerque, NM",ABQ,"Albuquerque, NM",2021,1
5,ABQ,"Albuquerque, NM",AGP,"Malaga, Spain",2021,9
6,ABQ,"Albuquerque, NM",TUS,"Tucson, AZ",2021,1
7,ABV,"Abuja, Nigeria",IAD,"Washington, DC",2021,9
8,ABZ,"Aberdeen, United Kingdom",TEB,"Teterboro, NJ",2021,8
9,ACE,"Arrecife, Spain",OPF,"Miami, FL",2021,10
10,ACH,"Altenrhein, Switzerland",BGR,"Bangor, ME",2021,4
11,ACK,"Nantucket, MA",ATL,"Atlanta, GA",2021,10
12,ACK,"Nantucket, MA",BED,"Bedford, MA",2021,6
13,ACK,"Nantucket, MA",BED,"Bedford, MA",2021,7
14,ACK,"Nantucket, MA",BED,"Bedford, MA",2021,10
15,ACK,"Nantucket, MA",BED,"Bedford, MA",2021,11
16,ACK,"Nantucket, MA",BOS,"Boston, MA",2021,12
17,ACK,"Nantucket, MA",CHS,"Charleston, SC",2021,11
18,ACK,"Nantucket, MA",HPN,"White Plains, NY",2021,1
19,ACK,"Nantucket, MA",HPN,"White Plains, NY",2021,2
20,ACK,"Nantucket, MA",HPN,"White Plains, NY",2021,3
21,ACK,"Nantucket, MA",HPN,"White Plains, NY",2021,4
22,ACK,"Nantucket, MA",HPN,"White Plains, NY",2021,11
23,ACK,"Nantucket, MA",HPN,"White Plains, NY",2021,12
24,ACK,"Nantucket, MA",JFK,"New York, NY",2021,4
25,ACK,"Nantucket, MA",JFK,"New York, NY",2021,5
26,ACK,"Nantucket, MA",JFK,"New York, NY",2021,10
27,ACK,"Nantucket, MA",JFK,"New York, NY",2021,11
28,ACK,"Nantucket, MA",JFK,"New York, NY",2021,12
29,ACK,"Nantucket, MA",LEX,"Lexington, KY",2021,10
30,ACK,"Nantucket, MA",MIA,"Miami, FL",2021,7
31,ACK,"Nantucket, MA",PMI,"Palma Mallorca, Spain",2021,7
32,ACK,"Nantucket, MA",SCL,"Santiago, Chile",2021,10
33,ACK,"Nantucket, MA",TEB,"Teterboro, NJ",2021,7
34,ACK,"Nantucket, MA",TEB,"Teterboro, NJ",2021,11
35,ACK,"Nantucket, MA",YOW,"Ottawa, Canada",2021,8
36,ACK,"Nantucket, MA",YQG,"Windsor, Canada",2021,7
37,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2021,7
38,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2021,7
39,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2021,8
40,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2021,9
41,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2021,9
42,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2021,10
43,ACT,"Waco, TX",CKB,"Clarksburg/Fairmont, WV",2021,2
44,ACT,"Waco, TX",FOE,"Topeka, KS",2021,1
45,ACT,"Waco, TX",IAH,"Houston, TX",2021,1
46,ACT,"Waco, TX",IAH,"Houston, TX",2021,2
47,ACT,"Waco, TX",MHK,"Manhattan/Ft. Riley, KS",2021,1
48,ACY,"Atlantic City, NJ",AMG,"Amboin, Papua New Guinea",2021,5
49,ACY,"Atlantic City, NJ",GRR,"Grand Rapids, MI",2021,6
50,ACY,"Atlantic City, NJ",TFS,"Tenerife, Spain",2021,7
51,ACY,"Atlantic City, NJ",YYZ,"Toronto, Canada",2021,7
