PK,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH
1,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2014,4
2,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2014,5
3,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2014,8
4,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2014,9
5,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2014,10
6,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",2014,12
7,ABE,"Allentown/Bethlehem/Easton, PA",FRG,"East Farmingdale, NY",2014,5
8,ABE,"Allentown/Bethlehem/Easton, PA",MCO,"Orlando, FL",2014,10
9,ABE,"Allentown/Bethlehem/Easton, PA",SDF,"Louisville, KY",2014,9
10,ABI,"Abilene, TX",MAF,"Midland/Odessa, TX",2014,12
11,ABQ,"Albuquerque, NM",DEN,"Denver, CO",2014,2
12,ABQ,"Albuquerque, NM",SAF,"Santa Fe, NM",2014,4
13,ABQ,"Albuquerque, NM",SAF,"Santa Fe, NM",2014,12
14,ACC,"Accra, Ghana",JFK,"New York, NY",2014,3
15,ACK,"Nantucket, MA",BDL,"Hartford, CT",2014,5
16,ACK,"Nantucket, MA",BDL,"Hartford, CT",2014,7
17,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2014,12
18,ACK,"Nantucket, MA",ZBM,"Bromont, Canada",2014,6
19,ACT,"Waco, TX",SLP,"San Luis Potosi, Mexico",2014,2
20,ACY,"Atlantic City, NJ",YUL,"Montreal, Canada",2014,9
21,ACY,"Atlantic City, NJ",YYZ,"Toronto, Canada",2014,8
22,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2014,1
23,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2014,2
24,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2014,3
25,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2014,4
26,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2014,5
27,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2014,6
28,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2014,7
29,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2014,8
30,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2014,9
31,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2014,10
32,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2014,11
33,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2014,12
34,ADK,"Adak Island, AK",ANC,"Anchorage, AK",2014,6
35,ADK,"Adak Island, AK",ANC,"Anchorage, AK",2014,7
36,ADQ,"Kodiak, AK",ADQ,"Kodiak, AK",2014,1
37,ADQ,"Kodiak, AK",ILI,"Iliamna, AK",2014,2
38,ADQ,"Kodiak, AK",ILI,"Iliamna, AK",2014,9
39,ADQ,"Kodiak, AK",KIX,"Osaka, Japan",2014,8
40,ADW,"Camp Springs, MD",ATL,"Atlanta, GA",2014,4
41,ADW,"Camp Springs, MD",ATL,"Atlanta, GA",2014,5
42,ADW,"Camp Springs, MD",DTW,"Detroit, MI",2014,4
43,ADW,"Camp Springs, MD",DTW,"Detroit, MI",2014,5
44,ADW,"Camp Springs, MD",HND,"Tokyo, Japan",2014,4
45,ADW,"Camp Springs, MD",MSN,"Madison, WI",2014,3
46,ADW,"Camp Springs, MD",NBW,"Guantanamo, Cuba",2014,3
47,ADW,"Camp Springs, MD",TEB,"Teterboro, NJ",2014,8
48,AER,"Adler/Sochi, Russia",AUS,"Austin, TX",2014,10
49,AEX,"Alexandria, LA",ATL,"Atlanta, GA",2014,1
50,AEX,"Alexandria, LA",BIF,"El Paso, TX",2014,12
51,AEX,"Alexandria, LA",DTW,"Detroit, MI",2014,3
52,AEX,"Alexandria, LA",EDF,"Anchorage, AK",2014,4
53,AEX,"Alexandria, LA",EDF,"Anchorage, AK",2014,4
54,AEX,"Alexandria, LA",EDF,"Anchorage, AK",2014,5
55,AEX,"Alexandria, LA",EDF,"Anchorage, AK",2014,5
56,AEX,"Alexandria, LA",EIL,"Fairbanks, AK",2014,4
57,AEX,"Alexandria, LA",POB,"Fayetteville, NC",2014,1
58,AFW,"Dallas/Fort Worth, TX",AFW,"Dallas/Fort Worth, TX",2014,6
59,AFW,"Dallas/Fort Worth, TX",AFW,"Dallas/Fort Worth, TX",2014,11
60,AFW,"Dallas/Fort Worth, TX",BFI,"Seattle, WA",2014,9
61,AFW,"Dallas/Fort Worth, TX",DUB,"Dublin, Ireland",2014,6
62,AFW,"Dallas/Fort Worth, TX",FAB,"Farnborough, United Kingdom",2014,3
63,AFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",2014,9
64,AGP,"Malaga, Spain",HOU,"Houston, TX",2014,9
65,AGP,"Malaga, Spain",MIA,"Miami, FL",2014,9
66,AGS,"Augusta, GA",ATL,"Atlanta, GA",2014,4
67,AGS,"Augusta, GA",ATL,"Atlanta, GA",2014,5
68,AGS,"Augusta, GA",ATL,"Atlanta, GA",2014,7
69,AGS,"Augusta, GA",ATL,"Atlanta, GA",2014,8
70,AGS,"Augusta, GA",ATL,"Atlanta, GA",2014,9
71,AGS,"Augusta, GA",ATL,"Atlanta, GA",2014,9
72,AGS,"Augusta, GA",ATL,"Atlanta, GA",2014,10
73,AGS,"Augusta, GA",ATL,"Atlanta, GA",2014,12
74,AGS,"Augusta, GA",BWI,"Baltimore, MD",2014,4
75,AGS,"Augusta, GA",YYZ,"Toronto, Canada",2014,4
76,AGS,"Augusta, GA",YYZ,"Toronto, Canada",2014,4
77,AGU,"Aguascalientes, Mexico",LAS,"Las Vegas, NV",2014,9
78,AGU,"Aguascalientes, Mexico",LAX,"Los Angeles, CA",2014,1
79,AGU,"Aguascalientes, Mexico",LAX,"Los Angeles, CA",2014,2
80,AGU,"Aguascalientes, Mexico",LAX,"Los Angeles, CA",2014,3
81,AGU,"Aguascalientes, Mexico",LAX,"Los Angeles, CA",2014,4
82,AGU,"Aguascalientes, Mexico",LAX,"Los Angeles, CA",2014,5
83,AGU,"Aguascalientes, Mexico",LAX,"Los Angeles, CA",2014,6
84,AGU,"Aguascalientes, Mexico",LAX,"Los Angeles, CA",2014,7
85,AGU,"Aguascalientes, Mexico",LAX,"Los Angeles, CA",2014,8
86,AGU,"Aguascalientes, Mexico",LAX,"Los Angeles, CA",2014,9
87,AGU,"Aguascalientes, Mexico",LAX,"Los Angeles, CA",2014,10
88,AGU,"Aguascalientes, Mexico",LAX,"Los Angeles, CA",2014,11
89,AGU,"Aguascalientes, Mexico",LAX,"Los Angeles, CA",2014,12
90,AIK,"Aiken, SC",YVR,"Vancouver, Canada",2014,4
91,AIK,"Aiken, SC",ZRH,"Zurich, Switzerland",2014,4
92,AIZ,"Lake of the Ozarks, MO",YYZ,"Toronto, Canada",2014,6
93,AKL,"Auckland, New Zealand",HNL,"Honolulu, HI",2014,1
94,AKL,"Auckland, New Zealand",HNL,"Honolulu, HI",2014,2
