PK,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH
1,1NC,"Roanoke Rapids, NC",CHS,"Charleston, SC",2019,1
2,ABE,"Allentown/Bethlehem/Easton, PA",LBG,"Paris, France",2019,9
3,ABQ,"Albuquerque, NM",ABQ,"Albuquerque, NM",2019,10
4,ABQ,"Albuquerque, NM",CUU,"Chihuahua, Mexico",2019,6
5,ABQ,"Albuquerque, NM",CUU,"Chihuahua, Mexico",2019,6
6,ABQ,"Albuquerque, NM",GDL,"Guadalajara, Mexico",2019,1
7,ABQ,"Albuquerque, NM",GDL,"Guadalajara, Mexico",2019,1
8,ABQ,"Albuquerque, NM",GDL,"Guadalajara, Mexico",2019,2
9,ABQ,"Albuquerque, NM",GDL,"Guadalajara, Mexico",2019,3
10,ABQ,"Albuquerque, NM",GDL,"Guadalajara, Mexico",2019,4
11,ABQ,"Albuquerque, NM",GDL,"Guadalajara, Mexico",2019,4
12,ABQ,"Albuquerque, NM",GDL,"Guadalajara, Mexico",2019,5
13,ABQ,"Albuquerque, NM",GDL,"Guadalajara, Mexico",2019,6
14,ABQ,"Albuquerque, NM",HNL,"Honolulu, HI",2019,7
15,ABQ,"Albuquerque, NM",MDW,"Chicago, IL",2019,1
16,ABQ,"Albuquerque, NM",SFO,"San Francisco, CA",2019,12
17,ABQ,"Albuquerque, NM",YVR,"Vancouver, Canada",2019,4
18,ABV,"Abuja, Nigeria",IAD,"Washington, DC",2019,12
19,ACC,"Accra, Ghana",IAD,"Washington, DC",2019,1
20,ACC,"Accra, Ghana",IAD,"Washington, DC",2019,2
21,ACC,"Accra, Ghana",IAD,"Washington, DC",2019,3
22,ACC,"Accra, Ghana",IAD,"Washington, DC",2019,4
23,ACC,"Accra, Ghana",IAD,"Washington, DC",2019,5
24,ACC,"Accra, Ghana",IAD,"Washington, DC",2019,6
25,ACC,"Accra, Ghana",IAD,"Washington, DC",2019,7
26,ACC,"Accra, Ghana",IAD,"Washington, DC",2019,8
27,ACC,"Accra, Ghana",IAD,"Washington, DC",2019,9
28,ACC,"Accra, Ghana",IAD,"Washington, DC",2019,10
29,ACC,"Accra, Ghana",IAD,"Washington, DC",2019,11
30,ACC,"Accra, Ghana",IAD,"Washington, DC",2019,12
31,ACC,"Accra, Ghana",TEB,"Teterboro, NJ",2019,12
32,ACK,"Nantucket, MA",ATL,"Atlanta, GA",2019,12
33,ACK,"Nantucket, MA",BED,"Bedford, MA",2019,6
34,ACK,"Nantucket, MA",BOS,"Boston, MA",2019,6
35,ACK,"Nantucket, MA",BOS,"Boston, MA",2019,9
36,ACK,"Nantucket, MA",BOS,"Boston, MA",2019,10
37,ACK,"Nantucket, MA",CHS,"Charleston, SC",2019,6
38,ACK,"Nantucket, MA",HPN,"White Plains, NY",2019,12
39,ACK,"Nantucket, MA",JFK,"New York, NY",2019,9
40,ACK,"Nantucket, MA",RIC,"Richmond, VA",2019,7
41,ACK,"Nantucket, MA",SCL,"Santiago, Chile",2019,6
42,ACK,"Nantucket, MA",SCL,"Santiago, Chile",2019,10
43,ACK,"Nantucket, MA",TEB,"Teterboro, NJ",2019,9
44,ACK,"Nantucket, MA",TFS,"Tenerife, Spain",2019,10
45,ACK,"Nantucket, MA",YQA,"Muskoka, Canada",2019,7
46,ACK,"Nantucket, MA",YXU,"London, Canada",2019,8
47,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2019,5
48,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2019,6
