PK,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH
1,1FL,"Titusville, FL",MCO,"Orlando, FL",2020,6
2,3TX,"Lancaster, TX",YUL,"Montreal, Canada",2020,2
3,A20,"Alpine, AK",A20,"Alpine, AK",2020,12
4,ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX",2020,10
5,ABQ,"Albuquerque, NM",IAH,"Houston, TX",2020,4
6,ABQ,"Albuquerque, NM",ICT,"Wichita, KS",2020,9
7,ABQ,"Albuquerque, NM",MCI,"Kansas City, MO",2020,5
8,ABQ,"Albuquerque, NM",OAK,"Oakland, CA",2020,5
9,ABQ,"Albuquerque, NM",OAK,"Oakland, CA",2020,5
10,ABQ,"Albuquerque, NM",ORD,"Chicago, IL",2020,3
11,ABQ,"Albuquerque, NM",ORD,"Chicago, IL",2020,3
12,ABQ,"Albuquerque, NM",ORD,"Chicago, IL",2020,4
13,ABQ,"Albuquerque, NM",SJC,"San Jose, CA",2020,4
14,ABQ,"Albuquerque, NM",SJC,"San Jose, CA",2020,5
15,ABQ,"Albuquerque, NM",TUS,"Tucson, AZ",2020,11
16,ABQ,"Albuquerque, NM",YYC,"Calgary, Canada",2020,6
17,ABV,"Abuja, Nigeria",TEB,"Teterboro, NJ",2020,7
18,ACC,"Accra, Ghana",IAD,"Washington, DC",2020,1
19,ACC,"Accra, Ghana",IAD,"Washington, DC",2020,2
20,ACC,"Accra, Ghana",IAD,"Washington, DC",2020,3
21,ACK,"Nantucket, MA",HPN,"White Plains, NY",2020,5
22,ACK,"Nantucket, MA",HPN,"White Plains, NY",2020,11
23,ACK,"Nantucket, MA",HPN,"White Plains, NY",2020,12
24,ACK,"Nantucket, MA",HYA,"Hyannis, MA",2020,12
25,ACK,"Nantucket, MA",KEF,"Keflavik/Reykjavik, Iceland",2020,7
26,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2020,8
27,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2020,9
28,ACT,"Waco, TX",ACT,"Waco, TX",2020,3
29,ACY,"Atlantic City, NJ",SNN,"Shannon, Ireland",2020,10
30,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2020,1
31,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2020,2
32,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2020,3
33,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2020,4
34,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2020,5
35,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2020,6
36,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2020,7
37,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2020,8
38,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2020,9
39,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2020,10
40,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2020,11
41,ADD,"Addis Ababa, Ethiopia",EWR,"Newark, NJ",2020,12
42,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2020,1
43,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2020,2
44,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2020,3
45,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2020,4
46,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2020,5
47,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2020,6
48,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2020,7
49,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2020,8
50,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2020,9
51,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2020,10
52,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2020,11
53,ADD,"Addis Ababa, Ethiopia",IAD,"Washington, DC",2020,12
54,ADD,"Addis Ababa, Ethiopia",IAH,"Houston, TX",2020,1
55,ADD,"Addis Ababa, Ethiopia",IAH,"Houston, TX",2020,2
56,ADD,"Addis Ababa, Ethiopia",IAH,"Houston, TX",2020,3
57,ADD,"Addis Ababa, Ethiopia",JFK,"New York, NY",2020,1
58,ADD,"Addis Ababa, Ethiopia",JFK,"New York, NY",2020,2
59,ADD,"Addis Ababa, Ethiopia",JFK,"New York, NY",2020,3
60,ADD,"Addis Ababa, Ethiopia",JFK,"New York, NY",2020,4
61,ADD,"Addis Ababa, Ethiopia",JFK,"New York, NY",2020,5
62,ADD,"Addis Ababa, Ethiopia",JFK,"New York, NY",2020,6
63,ADD,"Addis Ababa, Ethiopia",JFK,"New York, NY",2020,8
64,ADD,"Addis Ababa, Ethiopia",JFK,"New York, NY",2020,9
65,ADD,"Addis Ababa, Ethiopia",JFK,"New York, NY",2020,10
66,ADD,"Addis Ababa, Ethiopia",JFK,"New York, NY",2020,11
67,ADD,"Addis Ababa, Ethiopia",JFK,"New York, NY",2020,12
68,ADD,"Addis Ababa, Ethiopia",MIA,"Miami, FL",2020,9
69,ADD,"Addis Ababa, Ethiopia",MIA,"Miami, FL",2020,10
70,ADD,"Addis Ababa, Ethiopia",ORD,"Chicago, IL",2020,1
71,ADD,"Addis Ababa, Ethiopia",ORD,"Chicago, IL",2020,2
72,ADD,"Addis Ababa, Ethiopia",ORD,"Chicago, IL",2020,3
73,ADD,"Addis Ababa, Ethiopia",ORD,"Chicago, IL",2020,4
74,ADD,"Addis Ababa, Ethiopia",ORD,"Chicago, IL",2020,5
75,ADD,"Addis Ababa, Ethiopia",ORD,"Chicago, IL",2020,6
76,ADD,"Addis Ababa, Ethiopia",ORD,"Chicago, IL",2020,7
77,ADD,"Addis Ababa, Ethiopia",ORD,"Chicago, IL",2020,8
