PK,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,MONTH
1,ABE,"Allentown/Bethlehem/Easton, PA",ABE,"Allentown/Bethlehem/Easton, PA",2017,8
2,ABE,"Allentown/Bethlehem/Easton, PA",ABE,"Allentown/Bethlehem/Easton, PA",2017,9
3,ABE,"Allentown/Bethlehem/Easton, PA",BKL,"Cleveland, OH",2017,5
4,ABE,"Allentown/Bethlehem/Easton, PA",SDF,"Louisville, KY",2017,9
5,ABI,"Abilene, TX",DAL,"Dallas, TX",2017,3
6,ABI,"Abilene, TX",DEN,"Denver, CO",2017,11
7,ABQ,"Albuquerque, NM",ABQ,"Albuquerque, NM",2017,2
8,ABQ,"Albuquerque, NM",ABQ,"Albuquerque, NM",2017,5
9,ABQ,"Albuquerque, NM",IAH,"Houston, TX",2017,9
10,ABQ,"Albuquerque, NM",IAH,"Houston, TX",2017,9
11,ABQ,"Albuquerque, NM",MDW,"Chicago, IL",2017,6
12,ABQ,"Albuquerque, NM",YYZ,"Toronto, Canada",2017,6
13,ACA,"Acapulco, Mexico",LAX,"Los Angeles, CA",2017,12
14,ACC,"Accra, Ghana",IAD,"Washington, DC",2017,1
15,ACC,"Accra, Ghana",IAD,"Washington, DC",2017,2
16,ACC,"Accra, Ghana",IAD,"Washington, DC",2017,3
17,ACC,"Accra, Ghana",IAD,"Washington, DC",2017,4
18,ACC,"Accra, Ghana",IAD,"Washington, DC",2017,5
19,ACC,"Accra, Ghana",IAD,"Washington, DC",2017,6
20,ACC,"Accra, Ghana",IAD,"Washington, DC",2017,7
21,ACC,"Accra, Ghana",IAD,"Washington, DC",2017,8
22,ACC,"Accra, Ghana",IAD,"Washington, DC",2017,9
23,ACC,"Accra, Ghana",IAD,"Washington, DC",2017,10
24,ACC,"Accra, Ghana",IAD,"Washington, DC",2017,11
25,ACC,"Accra, Ghana",IAD,"Washington, DC",2017,12
26,ACC,"Accra, Ghana",JFK,"New York, NY",2017,11
27,ACK,"Nantucket, MA",BED,"Bedford, MA",2017,10
28,ACK,"Nantucket, MA",BNA,"Nashville, TN",2017,6
29,ACK,"Nantucket, MA",BOS,"Boston, MA",2017,8
30,ACK,"Nantucket, MA",HPN,"White Plains, NY",2017,2
31,ACK,"Nantucket, MA",TEB,"Teterboro, NJ",2017,8
32,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2017,8
33,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2017,9
34,ACK,"Nantucket, MA",YYZ,"Toronto, Canada",2017,9
35,ACY,"Atlantic City, NJ",ACY,"Atlantic City, NJ",2017,8
